run,team,precision,ungrounded_rate,private_ung_rate,pct_ungrounded_private,avg_cites,redundancy,effective_docs,n_topics,top_private_ung_concepts
june,T300,0.7618,0.2382,0.0699,0.3048,13,0.441,7.2312,119,hindsight|posture|mode|ceiling|argument|asymmetry|floor|framing|hybrid|quarter|version|anecdote|default|fix|instrument|judgement|menu|objection|second|shape|variant|arithmetic|artifact|buy|chain
april,T448,0.8334,0.1666,0.0687,0.427,22.1,0.5658,9.1048,119,near‑term|short‑term|long‑term|high‑risk|follow‑up|low‑cost|medium‑term|trade‑off|checklist|comms|experiment|improve|linkage|longer‑term|multi‑year|norm|off‑peak|public‑health|reproducibility|scale‑up|sop|system‑level|transparency|academic|acceleration
anika,T086,0.7852,0.2148,0.0679,0.3191,10.3,0.391,6.2054,119,c1|short‑term|c4|real‑time|small‑scale|spike|sum|bulk|c3|double‑digit|downside|high‑quality|hinge|longer‑term|long‑standing|meta‑analyse|on‑site|short‑range|social‑media|strand|trajectory|violation|90‑day|acquisition|all‑cause
oscar,T086,0.7845,0.2155,0.0661,0.3124,10.89,0.3783,6.621,119,fourth|c1|inference|c4|hinge|parallel|bulk|c10|c3|c9|decision‑making|formulation|handful|mental‑health|non‑compliance|real‑time|restoration|short‑term|sixth|spike|add‑on|ai‑driven|architecture|articulation|boundary
gilda,T086,0.7884,0.2116,0.0652,0.3114,10.82,0.3919,6.5112,119,c2|balance|c1|c3|high‑risk|one‑third|real‑world|ambition|architecture|cross‑functional|extension|inference|long‑standing|one‑fifth|ordering|payoff|pillar|portal|regime|sixth|stand‑alone|sum|yield|b|c4
nell,T614,0.7253,0.2747,0.065,0.2672,7.01,0.3199,4.1499,101,*|conclusion|:*|n|instance|n6|narrative|programs|recommendations|regular|systems|advancements|comprehensive|issues|n13|n17|presence|challenges|collaborative|concerns|considerations|feedback|hinge|interplay|key
pablo,T086,0.8351,0.1649,0.0594,0.3611,31.46,0.6005,12.1596,119,c1|large‑scale|fourth|low‑cost|sixth|built‑in|c2|c3|c4|c8|high‑risk|long‑term|proceed|real‑time|real‑world|reinforcement|roadmap|strand|uplift|90‑day|appetite|bandwidth|bay|best‑practice|blend
ari,T569,0.8493,0.1507,0.0594,0.3864,13.9,0.4098,8.0908,119,real‑time|three‑year|door‑to‑door|high‑performance|k.|labour‑right|late‑night|over‑reliance|property‑tax|state‑run|+|.net‑centric|101st|1770|1–5|25‑member|500‑ton|50–100|5–10|6‑12|7‑dehydrocholesterol|8–12|\((n\!+\!1)\)‑st|\(60^{\circ}\|\(7/64\
henry,T086,0.83,0.17,0.0591,0.3531,29.43,0.5656,12.4857,119,c1|c2|decision‑making|c4|long‑term|strand|c3|large‑scale|medium‑term|one‑third|real‑world|roadmap|sixth|state‑run|suite|two‑track|worst‑case|agenda|arena|authenticity|blend|blood‑pressure|bracket|c5|c7
miles,T086,0.8391,0.1609,0.057,0.3585,31.98,0.5967,12.6067,119,large‑scale|c2|c4|long‑term|strand|c1|c5|c8|high‑quality|inference|on‑site|plain‑language|remainder|seventh|small‑group|apron|c3|c6|chatter|civil‑right|clean‑energy|complement|data‑analysis|data‑driven|decision‑making
annie,T907,0.7998,0.2002,0.0517,0.1727,1.93,0.1106,1.6323,118,narrative|next|1990|added|aes-256|apostolic|aquabounty|aquadvantage|archive.org|armenian|arterys|artificial|automaker|babylon|bag|bit|bloomberg|brother|bruce|canadian|carolyn|chance|christopher|contraction|covid-19
kane,T066,0.833,0.167,0.0467,0.3051,7.73,0.3913,4.5642,118,framing|concrete|scratch|caution|caveat|flag|illustration|sourcing|specific|afterthought|characterization|compounding|counter|default|frame|mechanic|none|nuance|on|parallel|tension|angle|arc|argument|endpoint
isaac,T047,0.8412,0.1588,0.0424,0.283,13.79,0.4581,6.5887,119,ask|highlights|mention|details|outline|highlight|explore|overview|examine|doc|passage|piece|best‑practice|contributor|detail|discussion|notes|background|commentary|dependence|discusse|duplicate|explanation|high‑level|insight
damon,T047,0.8273,0.1727,0.0419,0.2796,18.35,0.449,9.1888,118,highlight|ask|mention|details|highlights|outline|passage|duplicate|discusse|doc|present|budgeting|critique|explore|mentions|mitigation|note|overview|step‑by‑step|suitability|address|commentary|con|examine|excerpt
steve,T047,0.842,0.158,0.0404,0.2679,11.96,0.4275,6.1673,119,shape|item|logic|worry|appeal|arithmetic|direction|front|instrument|pairing|picture|ask|axis|label|lever|load|none|payoff|reach|split|statement|version|vocabulary|whole|anchor
eve,T341,0.8012,0.1988,0.036,0.1895,14.36,0.4674,7.3879,119,abstract|permit|substitute|suit|avoidance|leverage|afterthought|break|correction|interruption|match|preserve|reserve|adjacent|architecture|aspiration|assertion|autism|backlash|backstop|bargain|breadth|build|bypass|character
jamie,T300,0.8651,0.1349,0.0359,0.2694,24.83,0.5489,10.9499,119,comparative|practical|tradeoffs|considerations|#|risks|historical|long|alternatives|criteria|illustration|limits|models|our|parallel|responses|rules|strategic|structural|synthesis|'|:*|all|architecture|barriers
paula,T907,0.8706,0.1294,0.0355,0.1458,2.36,0.1743,1.8701,105,+20|4|actions|agencies|asia|assembly|association|automobile|briefing|business|carbon|centric|cingulate|clean|colorectal|competency|coordinators|crea|critic|cyberclaim|debate|dioxide|district|dress|electorate
carmen,T569,0.8879,0.1121,0.0333,0.2896,27.67,0.4916,13.7936,119,causation|counsel|appropriation|excess|guarantee|jurisdiction|machinery|precedent|quotation|workday|accounting|attrition|band|bargaining|catalogue|causality|chessboard|cleaning|composition|concurrency|conduct|consultation|convention|correction|counting
yara,T649,0.8912,0.1088,0.033,0.338,17.76,0.4304,9.7836,119,notebook|denominator|arrear|comparator|handoff|capture|forecast|ladder|pause|permit|redesign|reject|reversibility|slogan|subgroup|wait|aggregation|ante|assertion|attraction|backfill|bet|bid|bidder|blanket
carlo,T907,0.7831,0.2169,0.033,0.1156,1.16,0.0227,1.104,73,hr|1st|a&m|academy|acquisition|administration|aires|awakens|biology|breakthrough|buenos|ci|counseling|degradation|democracy|department|depopulation|desperation|differentiator|distress|drive|ecosystem|eeg|foods|fragmentation
tania,T047,0.8684,0.1316,0.0324,0.2863,15.39,0.4132,8.3708,118,framing|land|worry|ambition|verdict|arithmetic|bite|cluster|concrete|counterweight|cut|damage|distinction|footing|frame|friction|machinery|offer|payoff|shape|span|split|spread|stretch|template
sara,T569,0.879,0.121,0.0294,0.2672,15.92,0.4129,8.9376,119,profile|attestation|attitude|degradation|documentation|headache|inflection|logic|lower|nyc|open|patch|timeline|validation|window|+|-0.1|-1×1|-1×2|-1×3|-2|18/20/22|1950|2000|20x
ariel,T569,0.8745,0.1255,0.0292,0.2387,24.73,0.498,12.0194,119,reversal|approval|assurance|audit|audits|bypass|calendar|chronology|contingent|contracting|cure|cutoff|dashboard|entitlement|exhaustion|explanation|headline|impulse|indifference|loser|objection|placement|pre|progression|qualification
edith,T569,0.8783,0.1217,0.0277,0.245,25.82,0.5003,12.5103,119,interruption|label|staging|acquisition|after|attrition|biomarker|causation|centimetre|centre|clearance|convert|dependant|enforceability|feed|feeler|flagship|fragment|fragmentation|grave|improve|lender|offset|redesign|supplement
omar,T086,0.9282,0.0718,0.0274,0.3976,22,0.5164,10.4881,119,fix|reviewer|companion|payoff|analyst|flag|logic|trace|afterthought|analogue|angle|asymmetry|audio|backstop|bar|bundle|catch|compound|costing|dose|edge|fare|finish|flare|fourth
lars,T569,0.8838,0.1162,0.0273,0.2315,27.87,0.5082,13.295,119,repair|shortcut|anchoring|decoration|escape|governing|headline|hierarchy|inspection|label|ladder|migration|orientation|oversubscription|replication|spine|tranche|trap|1−tpr|6–48|8–12|\((a_i|\((c-1)\)-color|\((k-1)\)-subset|\((r-1)(s-1)+1\
jason,T448,0.911,0.089,0.0272,0.3351,25.47,0.5802,10.1953,119,high‑profile|commentator|dislocation|backlash|commentary|contingent|cue|defensibility|denote|flexibility|funder|harm|long‑term|mapping|mechanic|monitor|nineteenth-|nuance|operationalizing|piloting|policymaker|qa|re|reliance|rework
linda,T656,0.8255,0.1745,0.0234,0.133,3.55,0.234,2.5992,119,assertion|a6|6th|a11|a7|abstract|adventure|agent-1|agent-2|authoritarianism|circumstance|comfort|consensus|csam|cutting|de|decrease|dehumanization|desire|directive|disappointment|division|downfall|driving|duration
rick,T267,0.7953,0.2047,0.0211,0.108,9.92,0.373,6.1046,119,"credential|separation|surrender|banking|do|equivalent|follow|handling|independence|license|opacity|preservation|scrutiny|show|slogan|0.2−1)²=0.64|0.5,−1|5–10|=|a.|abolitionist|absolution|achievement|addition|adequacy"
brian,T656,0.828,0.172,0.0187,0.1175,2.55,0.1787,1.9555,119,assertion|a0|a5|a6|adaptability|assistance|behavior|bergsjon|biotechnology|breakdown|caretaker|centeredness|centres|ces|charm|cleaner|collation|conjunction|continuation|cradle|damage|drawback|ecuador|effectiveness|exhibit
